isbn13,title,authorLN,authorFN,subjects,num of subjects,format,price,publisher,pubdate
9780806645773,Listening For God Rdr Vol 4,Carlson,Paula J.,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",4.0,Paperback,$13.43,"Augsburg Fortress, Publishers",January 2003
9780073384894,The American Tradition in Literature (concise) book alone,Perkins,George,American Literature Anthologies,1.0,Paperback,$106.79,"McGraw-Hill Companies, The",November 2008
9780312452834,"Approaching Literature: Writing, Reading, Thinking",Schakel,Peter,"Nonfiction Writing - General & Miscellaneous, English Language Readers, Student Life - College Guides, Rhetoric - English Language, American Literature Anthologies",5.0,Paperback,$48.94,Bedford/St. Martin's,December 2007
9780393927412,The Norton Anthology of American Literature: Volume C: 1865-1914,Krupat,Arnold,American Literature Anthologies,1.0,Paperback,$37.77,"Norton, W. W. & Company, Inc.",April 2007
9781598530599,American Fantastic Tales Boxed Set,Straub,Peter,"Fiction, American Literature Anthologies, Fiction Subjects",3.0,Hardcover,$49.42,Library of America,October 2009
9780140237788,Unsettling America: An Anthology of Contemporary Multicultural Poetry,Gillan,Maria Mazziotti,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Paperback,$16.16,Penguin Group (USA),November 1994
9780806627151,"Listening For God Reader, Vol 1",Carlson,Paula J.,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",4.0,Paperback,$13.43,"Augsburg Fortress, Publishers",August 1994
9780205763108,Concise Anthology of American Literature,Leonard,James,American Literature Anthologies,1.0,Paperback,$92.38,Prentice Hall,January 2010
9780547201801,"The Heath Anthology of American Literature: Contemporary Period (1945 To The Present), Volume E",Lauter,Paul,American Literature Anthologies,1.0,Paperback,$87.49,Cengage Learning,March 2009
9780140170368,The Portable Harlem Renaissance Reader,Lewis,David,"Places - Literary Anthologies, Regional American Anthologies, Peoples & Cultures - American Anthologies, American Literature Anthologies",4.0,Paperback,$15.90,Penguin Group (USA),June 1995
9780321484895,American Short Stories,Hitchcock,Bert,"Short Story Anthologies, American Literature Anthologies",2.0,Hardcover,$76.05,Longman,October 2007
9780486272849,Great Love Poems,Weller,Shane,"Poetry, American Literature Anthologies, Anthologies, General & Miscellaneous Poetry, English, Irish, & Scottish Poetry",7.0,Paperback,$1.99,Dover Publications,October 1992
9780321012692,"The Harper American Literature, Single Volume Edition",McQuade,Donald,American Literature Anthologies,1.0,Hardcover,$89.47,Longman,December 1998
9780395765289,The Latino Reader: An American Literary Tradition from 1542 to the Present,Olmos,Margarite Fernandez,"Peoples & Cultures - American Anthologies, Hispanic & Latin American Literature Anthologies, Literature Anthologies - General & Miscellaneous",3.0,Paperback,$13.98,Houghton Mifflin Harcourt,March 1997
9780820334318,Black Nature,Dungy,Camille T.,"Poetry Anthologies, Poetry - General & Miscellaneous, American Poetry, African American Literature - Literary Criticism, American Literature Anthologies, U.S. & Canadian Poetry - General & Miscellaneous - Literary Criticism",6.0,Paperback,$14.87,University of Georgia Press,December 2009
9780132216470,Anthology of American Literature Volume II,McMichael,George,Literary Collections,1.0,Paperback,$92.20,Prentice Hall,January 2007
9780486271651,Best Remembered Poems,Gardner,Martin,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",5.0,Paperback,$5.94,Dover Publications,December 1992
9780802150325,Nine Plays of the Modern Theater: Waiting for Godot; The Visit; Tango; The Caucasian Chalk Circle; The Balcony; Rhinoceros; American Buffalo; The Birthday Party; Rosencrantz and Guildenstern are Dead,Clurman,Harold,"English, Scottish, & Welsh Drama, Drama Anthologies, American Drama, English & Irish Literature Anthologies, American Literature Anthologies",7.0,Paperback,$15.00,"Grove/Atlantic, Inc.",January 1994
9780393930146,"The Norton Anthology of Literature by Women: The Traditions in English, Vol. 2",Gilbert,Sandra M.,"Literary Criticism, Women Authors",2.0,Hardcover,$59.65,"Norton, W. W. & Company, Inc.",February 2007
9781598530216,Writing New York: A Literary Anthology,Lopate,Phillip,"American Literature Anthologies, General & Miscellaneous Literature Anthologies",2.0,Paperback,$24.02,Library of America,January 2008
9780743299770,The Best American Poetry 2009,Wagoner,David,"Poetry Anthologies, American Poetry, American Literature Anthologies",3.0,Paperback,$16.00,Simon & Schuster Adult Publishing Group,September 2009
9780393336450,Sudden Fiction Latino: Short-Short Stories from the United States and Latin America,Shapard,Robert,"Short Story Anthologies, General & Miscellaneous Latin American Literature - Literary Criticism, Peoples & Cultures - American Anthologies, Short Stories - Literary Criticism, Latin American Fiction",5.0,Paperback,$11.05,"Norton, W. W. & Company, Inc.",March 2010
9780689808692,I Am the Darker Brother: An Anthology of Modern Poems by African Americans,Adoff,Arnold,"Poetry, American Literature Anthologies, Anthologies",3.0,Mass Market Paperback,$5.84,Simon & Schuster Children's Publishing,January 1997
9780451529152,Classic American Autobiographies,Andrews,William L.,"Historical Biography - United States - General & Miscellaneous, American Literature Anthologies",2.0,Mass Market Paperback,$6.94,Penguin Group (USA),November 2003
9780142001943,The Portable Sixties Reader,Charters,Ann,"American Fiction & Literature Classics, Post-World War II American History - General & Miscellaneous, American Literature Anthologies",3.0,Paperback,$13.79,Penguin Group (USA),December 2002
9780060927639,Modern American Memoirs,Dillard,Annie,"Historical Biography - United States - General & Miscellaneous, U.S. Authors - 20th Century - Literary Biography, American Literature Anthologies",3.0,Paperback,$11.99,HarperCollins Publishers,October 1996
9780393927429,The Norton Anthology of American Literature: Volume D: 1914-1945,Klinkowitz,Jerome,American Literature Anthologies,1.0,Paperback,$37.77,"Norton, W. W. & Company, Inc.",April 2007
9781558850033,"Luis Valdez - Early Works: Actos, Bernabe and Pensamiento Serpentino",Valdez,Luis,Peoples & Cultures - American Anthologies,1.0,Hardcover,$4.90,Arte Publico Press,January 1990
9780521540285,In Our Own Words: Student Writers at Work,Mlynarczyk,Rebecca,"Nonfiction Writing - General & Miscellaneous, English Language Readers, Rhetoric - English Language, American Literature Anthologies, ESL (English as a Second Language) - Reference",5.0,Paperback,$33.09,Cambridge University Press,April 2005
9780822220558,Touch,Press-Coffman,Toni,"Drama Anthologies, American Drama, Love & Relationships - Drama, American Literature Anthologies",4.0,Paperback,$7.20,"Dramatists Play Service, Incorporated",November 2005
9780077239046,"The American Tradition in Literature, Volume 1(book alone)",Perkins,George,American Literature Anthologies,1.0,Paperback,$100.79,"McGraw-Hill Companies, The",October 2008
9780307268341,The Four Seasons: Poems,McClatchy,J. D.,"Poetry Anthologies, American Poetry, English Poetry, Literature Anthologies - General & Miscellaneous, English & Irish Literature Anthologies, American Literature Anthologies",6.0,Hardcover,$11.16,Knopf Doubleday Publishing Group,June 2008
9781598530698,The American Stage: Writing on Theater from Washington Irving to Tony Kushner,Senelick,Lawrence,"U.S. & Canadian Drama - Literary Criticism, United States - Theater - History & Criticism, American Literature Anthologies",3.0,Hardcover,$29.30,Library of America,April 2010
9780609808405,Bum Rush the Page: A Def Poetry Jam,Medina,Tony,"Poetry, American Literature Anthologies, Anthologies",3.0,Paperback,$14.95,Crown Publishing Group,October 2001
9781560255505,The Outlaw Bible of American Literature,Kaufmann,Alan,American Literature Anthologies,1.0,Paperback,$16.92,Basic Books,December 2004
9781934633946,Mother California: A Story of Redemption Behind Bars,Hartman,Kenneth E.,"Biographies &amp; Autobiographies, General",2.0,Paperback,$14.00,Atlas & Co.,September 2010
9780618197330,The Best American Short Stories 2003,Mosley,Walter,"American Fiction, Short Story Collections (Single Author), Short Story Anthologies, American Literature Anthologies",4.0,Paperback,$21.95,Houghton Mifflin Harcourt,October 2003
9780449905081,Spider Woman's Granddaughters: Traditional Tales and Contemporary Writing by Native American Women,Allen,Paula Gunn,"American Literature Anthologies, Native American Folklore & Mythology, Anthologies, World Literature, Fiction Subjects, Native North American People",6.0,Paperback,$10.31,Random House Publishing Group,May 1990
9781571312693,Transforming a Rape Culture,Buchwald,Emilie,"Criminology - Bias Crimes, Family Abuse & Violence, Regional American Anthologies, Sexual Harassment, Criminology - Sex Crimes, Women & Crime",6.0,Paperback,$15.13,Milkweed Editions,August 2004
9781598530414,American Food Writing: An Anthology with Classic Recipes,O'Neill,Molly,"Cooking, Essays",2.0,Paperback,$24.00,Library of America,January 2009
9781931082099,Baseball: A Literary Anthology,Dawidoff,Nicholas,"Baseball & Softball, American Literature Anthologies, General & Miscellaneous Literature Anthologies, Fiction Subjects",4.0,Hardcover,$25.31,Library of America,February 2002
9780896086265,Loving in the War Years: Lo que nunca paso por sus labios,Moraga,Cherrie,"Short Story Collections (Single Author), Hispanic Americans - Fiction & Literature, Peoples & Cultures - American Anthologies, Gay & Lesbian Fiction, Feminism & Feminist Theory, Literature Anthologies - General & Miscellaneous, Feminism & Literature",7.0,Paperback,$16.28,South End Press,September 2000
9781423606994,Don't Squat With Your Spurs On: A Cowboy's Guide to Life,Bender,Texas Bix,"American Humor - Peoples & Cultures, American Literature Anthologies",2.0,Paperback,$7.99,"Smith, Gibbs Publisher",October 2009
9780806639628,Listening For God Reader Volume 3,Carlson,Paula J.,"Faith, Literature Anthologies - General & Miscellaneous, General & Miscellaneous Christian Life, American Literature Anthologies",4.0,Paperback,$13.99,"Augsburg Fortress, Publishers",February 2000
9780375761270,Fierce Pajamas: An Anthology of Humor Writing from the New Yorker,Remnick,David,Humor,1.0,Paperback,$16.24,Random House Publishing Group,October 2002
9780231080286,The Top 500 Poems,Harmon,William,"Poetry Anthologies, American Poetry, English Poetry, English & Irish Literature Anthologies, American Literature Anthologies",5.0,Hardcover,$27.96,Columbia University Press,January 1992
9781598530315,True Crime: An American Anthology,Schechter,Harold,"American Literature Anthologies, True Crime",2.0,Hardcover,$40.00,Library of America,September 2008
9780061174070,"I Am Not My Breast Cancer: Women Talk Openly about Love and Sex, Hair Loss and Weight Gain, Mothers and Daughters, and Being a Woman with Breast Cancer",Peltason,Ruth,"Health &amp; Fitness, Women's Health",2.0,Paperback,$15.95,HarperCollins Publishers,September 2008
9780321113412,African American Literature (Penguin Academics Series),Gilyard,Keith,Peoples & Cultures - American Anthologies,1.0,Paperback,$42.47,Longman,January 2004
9780205779390,"Anthology of American Literature, Volume I",McMichael,George,American Literature Anthologies,1.0,Paperback,$1.99,Longman,July 2010
